
	MC = Master Clock
	CL = Clocks de las maquinas
	Serv = Servidor 
	Est = Estado del servidor
	NumCola = Numero en cola
	MC	CL1	CL2	CL3	CL4	Serv 1	Est.1  NumCola
	0.0	3.0	2.0	5.0	4.0	10000.0	  0		0	
	2.0	3.0	ppnf	5.0	4.0	6.0	  	  1		0	
	3.0	pps	ppnf	5.0	4.0	6.0	  	  1		1	
	4.0	pps	ppnf	5.0	pps	6.0	  	  1		2	
	5.0	pps	ppnf	pps	pps	6.0	  	  1		3	
	6.0	ppnf	13.0	pps	pps	10.0	  	  1		2	
	10.0	17.0	13.0	pps	ppnf	14.0	  	  1		1	
	13.0	17.0	pps	pps	ppnf	14.0	  	  1		2	
	14.0	17.0	pps	ppnf	21.0	18.0	  	  1		1	
	17.0	pps	pps	ppnf	21.0	18.0	  	  1		2	
	18.0	pps	ppnf	25.0	21.0	22.0	  	  1		1	
	21.0	pps	ppnf	25.0	pps	22.0	  	  1		2	
	22.0	ppnf	29.0	25.0	pps	26.0	  	  1		1	
	25.0	ppnf	29.0	pps	pps	26.0	  	  1		2	
	26.0	33.0	29.0	pps	ppnf	30.0	  	  1		1	
	29.0	33.0	pps	pps	ppnf	30.0	  	  1		2	
	30.0	33.0	pps	ppnf	37.0	34.0	  	  1		1	
	33.0	pps	pps	ppnf	37.0	34.0	  	  1		2	
	34.0	pps	ppnf	41.0	37.0	38.0	  	  1		1	
	37.0	pps	ppnf	41.0	pps	38.0	  	  1		2	
	38.0	ppnf	45.0	41.0	pps	42.0	  	  1		1	
	41.0	ppnf	45.0	pps	pps	42.0	  	  1		2	
	42.0	49.0	45.0	pps	ppnf	46.0	  	  1		1	
	45.0	49.0	pps	pps	ppnf	46.0	  	  1		2	
	46.0	49.0	pps	ppnf	53.0	50.0	  	  1		1	
	49.0	pps	pps	ppnf	53.0	50.0	  	  1		2	
	50.0	pps	ppnf	57.0	53.0	54.0	  	  1		1	
	53.0	pps	ppnf	57.0	pps	54.0	  	  1		2	
	54.0	ppnf	61.0	57.0	pps	58.0	  	  1		1	
	57.0	ppnf	61.0	pps	pps	58.0	  	  1		2	
	58.0	65.0	61.0	pps	ppnf	62.0	  	  1		1	
	61.0	65.0	pps	pps	ppnf	62.0	  	  1		2	
	62.0	65.0	pps	ppnf	69.0	66.0	  	  1		1	
	65.0	pps	pps	ppnf	69.0	66.0	  	  1		2	
	66.0	pps	ppnf	73.0	69.0	70.0	  	  1		1	
	69.0	pps	ppnf	73.0	pps	70.0	  	  1		2	
	70.0	ppnf	77.0	73.0	pps	74.0	  	  1		1	
	73.0	ppnf	77.0	pps	pps	74.0	  	  1		2	
	74.0	81.0	77.0	pps	ppnf	78.0	  	  1		1	
	77.0	81.0	pps	pps	ppnf	78.0	  	  1		2	
	78.0	81.0	pps	ppnf	85.0	82.0	  	  1		1	
	81.0	pps	pps	ppnf	85.0	82.0	  	  1		2	
	82.0	pps	ppnf	89.0	85.0	86.0	  	  1		1	
	85.0	pps	ppnf	89.0	pps	86.0	  	  1		2	
	86.0	ppnf	93.0	89.0	pps	90.0	  	  1		1	
	89.0	ppnf	93.0	pps	pps	90.0	  	  1		2	
	90.0	97.0	93.0	pps	ppnf	94.0	  	  1		1	
	93.0	97.0	pps	pps	ppnf	94.0	  	  1		2	
	94.0	97.0	pps	ppnf	101.0	98.0	  	  1		1	
	97.0	pps	pps	ppnf	101.0	98.0	  	  1		2	
	98.0	pps	ppnf	105.0	101.0	102.0	  	  1		1	
	101.0	pps	ppnf	105.0	pps	102.0	  	  1		2	
	102.0	ppnf	109.0	105.0	pps	106.0	  	  1		1	
	105.0	ppnf	109.0	pps	pps	106.0	  	  1		2	
	106.0	113.0	109.0	pps	ppnf	110.0	  	  1		1	
	109.0	113.0	pps	pps	ppnf	110.0	  	  1		2	
	110.0	113.0	pps	ppnf	117.0	114.0	  	  1		1	
	113.0	pps	pps	ppnf	117.0	114.0	  	  1		2	
	114.0	pps	ppnf	121.0	117.0	118.0	  	  1		1	
	117.0	pps	ppnf	121.0	pps	118.0	  	  1		2	
	118.0	ppnf	125.0	121.0	pps	122.0	  	  1		1	
	121.0	ppnf	125.0	pps	pps	122.0	  	  1		2	
	122.0	129.0	125.0	pps	ppnf	126.0	  	  1		1	
	125.0	129.0	pps	pps	ppnf	126.0	  	  1		2	
	126.0	129.0	pps	ppnf	133.0	130.0	  	  1		1	
	129.0	pps	pps	ppnf	133.0	130.0	  	  1		2	
	130.0	pps	ppnf	137.0	133.0	134.0	  	  1		1	
	133.0	pps	ppnf	137.0	pps	134.0	  	  1		2	
	134.0	ppnf	141.0	137.0	pps	138.0	  	  1		1	
	137.0	ppnf	141.0	pps	pps	138.0	  	  1		2	
	138.0	145.0	141.0	pps	ppnf	142.0	  	  1		1	
	141.0	145.0	pps	pps	ppnf	142.0	  	  1		2	
	142.0	145.0	pps	ppnf	149.0	146.0	  	  1		1	
	145.0	pps	pps	ppnf	149.0	146.0	  	  1		2	
	146.0	pps	ppnf	153.0	149.0	150.0	  	  1		1	
	149.0	pps	ppnf	153.0	pps	150.0	  	  1		2	
	150.0	ppnf	157.0	153.0	pps	154.0	  	  1		1	
	153.0	ppnf	157.0	pps	pps	154.0	  	  1		2	
	154.0	161.0	157.0	pps	ppnf	158.0	  	  1		1	
	157.0	161.0	pps	pps	ppnf	158.0	  	  1		2	
	158.0	161.0	pps	ppnf	165.0	162.0	  	  1		1	
	161.0	pps	pps	ppnf	165.0	162.0	  	  1		2	
	162.0	pps	ppnf	169.0	165.0	166.0	  	  1		1	
	165.0	pps	ppnf	169.0	pps	166.0	  	  1		2	
	166.0	ppnf	173.0	169.0	pps	170.0	  	  1		1	
	169.0	ppnf	173.0	pps	pps	170.0	  	  1		2	
	170.0	177.0	173.0	pps	ppnf	174.0	  	  1		1	
	173.0	177.0	pps	pps	ppnf	174.0	  	  1		2	
	174.0	177.0	pps	ppnf	181.0	178.0	  	  1		1	
	177.0	pps	pps	ppnf	181.0	178.0	  	  1		2	
	178.0	pps	ppnf	185.0	181.0	182.0	  	  1		1	
	181.0	pps	ppnf	185.0	pps	182.0	  	  1		2	
	182.0	ppnf	189.0	185.0	pps	186.0	  	  1		1	
	185.0	ppnf	189.0	pps	pps	186.0	  	  1		2	
	186.0	193.0	189.0	pps	ppnf	190.0	  	  1		1	
	189.0	193.0	pps	pps	ppnf	190.0	  	  1		2	
	190.0	193.0	pps	ppnf	197.0	194.0	  	  1		1	
	193.0	pps	pps	ppnf	197.0	194.0	  	  1		2	
	194.0	pps	ppnf	201.0	197.0	198.0	  	  1		1	
	197.0	pps	ppnf	201.0	pps	198.0	  	  1		2	
	198.0	ppnf	205.0	201.0	pps	202.0	  	  1		1	
	201.0	ppnf	205.0	pps	pps	202.0	  	  1		2	
	202.0	209.0	205.0	pps	ppnf	206.0	  	  1		1	
	205.0	209.0	pps	pps	ppnf	206.0	  	  1		2	
	206.0	209.0	pps	ppnf	213.0	210.0	  	  1		1	
	209.0	pps	pps	ppnf	213.0	210.0	  	  1		2	
	210.0	pps	ppnf	217.0	213.0	214.0	  	  1		1	
	213.0	pps	ppnf	217.0	pps	214.0	  	  1		2	
	214.0	ppnf	221.0	217.0	pps	218.0	  	  1		1	
	217.0	ppnf	221.0	pps	pps	218.0	  	  1		2	
	218.0	225.0	221.0	pps	ppnf	222.0	  	  1		1	
	221.0	225.0	pps	pps	ppnf	222.0	  	  1		2	
	222.0	225.0	pps	ppnf	229.0	226.0	  	  1		1	
	225.0	pps	pps	ppnf	229.0	226.0	  	  1		2	
	226.0	pps	ppnf	233.0	229.0	230.0	  	  1		1	
	229.0	pps	ppnf	233.0	pps	230.0	  	  1		2	
	230.0	ppnf	237.0	233.0	pps	234.0	  	  1		1	
	233.0	ppnf	237.0	pps	pps	234.0	  	  1		2	
	234.0	241.0	237.0	pps	ppnf	238.0	  	  1		1	
	237.0	241.0	pps	pps	ppnf	238.0	  	  1		2	
	238.0	241.0	pps	ppnf	245.0	242.0	  	  1		1	
	241.0	pps	pps	ppnf	245.0	242.0	  	  1		2	
	242.0	pps	ppnf	249.0	245.0	246.0	  	  1		1	
	245.0	pps	ppnf	249.0	pps	246.0	  	  1		2	
	246.0	ppnf	253.0	249.0	pps	250.0	  	  1		1	
	249.0	ppnf	253.0	pps	pps	250.0	  	  1		2	
	250.0	257.0	253.0	pps	ppnf	254.0	  	  1		1	
	253.0	257.0	pps	pps	ppnf	254.0	  	  1		2	
	254.0	257.0	pps	ppnf	261.0	258.0	  	  1		1	
	257.0	pps	pps	ppnf	261.0	258.0	  	  1		2	
	258.0	pps	ppnf	265.0	261.0	262.0	  	  1		1	
	261.0	pps	ppnf	265.0	pps	262.0	  	  1		2	
	262.0	ppnf	269.0	265.0	pps	266.0	  	  1		1	
	265.0	ppnf	269.0	pps	pps	266.0	  	  1		2	
	266.0	273.0	269.0	pps	ppnf	270.0	  	  1		1	
	269.0	273.0	pps	pps	ppnf	270.0	  	  1		2	
	270.0	273.0	pps	ppnf	277.0	274.0	  	  1		1	
	273.0	pps	pps	ppnf	277.0	274.0	  	  1		2	
	274.0	pps	ppnf	281.0	277.0	278.0	  	  1		1	
	277.0	pps	ppnf	281.0	pps	278.0	  	  1		2	
	278.0	ppnf	285.0	281.0	pps	282.0	  	  1		1	
	281.0	ppnf	285.0	pps	pps	282.0	  	  1		2	
	282.0	289.0	285.0	pps	ppnf	286.0	  	  1		1	
	285.0	289.0	pps	pps	ppnf	286.0	  	  1		2	
	286.0	289.0	pps	ppnf	293.0	290.0	  	  1		1	
	289.0	pps	pps	ppnf	293.0	290.0	  	  1		2	
	290.0	pps	ppnf	297.0	293.0	294.0	  	  1		1	
	293.0	pps	ppnf	297.0	pps	294.0	  	  1		2	
	294.0	ppnf	301.0	297.0	pps	298.0	  	  1		1	
	297.0	ppnf	301.0	pps	pps	298.0	  	  1		2	
	298.0	305.0	301.0	pps	ppnf	302.0	  	  1		1	
	301.0	305.0	pps	pps	ppnf	302.0	  	  1		2	
	302.0	305.0	pps	ppnf	309.0	306.0	  	  1		1	
	305.0	pps	pps	ppnf	309.0	306.0	  	  1		2	
	306.0	pps	ppnf	313.0	309.0	310.0	  	  1		1	
	309.0	pps	ppnf	313.0	pps	310.0	  	  1		2	
	310.0	ppnf	317.0	313.0	pps	314.0	  	  1		1	
	313.0	ppnf	317.0	pps	pps	314.0	  	  1		2	
	314.0	321.0	317.0	pps	ppnf	318.0	  	  1		1	
	317.0	321.0	pps	pps	ppnf	318.0	  	  1		2	
	318.0	321.0	pps	ppnf	325.0	322.0	  	  1		1	
	321.0	pps	pps	ppnf	325.0	322.0	  	  1		2	
	322.0	pps	ppnf	329.0	325.0	326.0	  	  1		1	
	325.0	pps	ppnf	329.0	pps	326.0	  	  1		2	
	326.0	ppnf	333.0	329.0	pps	330.0	  	  1		1	
	329.0	ppnf	333.0	pps	pps	330.0	  	  1		2	
	330.0	337.0	333.0	pps	ppnf	334.0	  	  1		1	
	333.0	337.0	pps	pps	ppnf	334.0	  	  1		2	
	334.0	337.0	pps	ppnf	341.0	338.0	  	  1		1	
	337.0	pps	pps	ppnf	341.0	338.0	  	  1		2	
	338.0	pps	ppnf	345.0	341.0	342.0	  	  1		1	
	341.0	pps	ppnf	345.0	pps	342.0	  	  1		2	
	342.0	ppnf	349.0	345.0	pps	346.0	  	  1		1	
	345.0	ppnf	349.0	pps	pps	346.0	  	  1		2	
	346.0	353.0	349.0	pps	ppnf	350.0	  	  1		1	
	349.0	353.0	pps	pps	ppnf	350.0	  	  1		2	
	350.0	353.0	pps	ppnf	357.0	354.0	  	  1		1	
	353.0	pps	pps	ppnf	357.0	354.0	  	  1		2	
	354.0	pps	ppnf	361.0	357.0	358.0	  	  1		1	
	357.0	pps	ppnf	361.0	pps	358.0	  	  1		2	
	358.0	ppnf	365.0	361.0	pps	362.0	  	  1		1	
	361.0	ppnf	365.0	pps	pps	362.0	  	  1		2	
	362.0	369.0	365.0	pps	ppnf	366.0	  	  1		1	
	365.0	369.0	pps	pps	ppnf	366.0	  	  1		2	
	366.0	369.0	pps	ppnf	373.0	370.0	  	  1		1	
	369.0	pps	pps	ppnf	373.0	370.0	  	  1		2	
	370.0	pps	ppnf	377.0	373.0	374.0	  	  1		1	
	373.0	pps	ppnf	377.0	pps	374.0	  	  1		2	
	374.0	ppnf	381.0	377.0	pps	378.0	  	  1		1	
	377.0	ppnf	381.0	pps	pps	378.0	  	  1		2	
	378.0	385.0	381.0	pps	ppnf	382.0	  	  1		1	
	381.0	385.0	pps	pps	ppnf	382.0	  	  1		2	
	382.0	385.0	pps	ppnf	389.0	386.0	  	  1		1	
	385.0	pps	pps	ppnf	389.0	386.0	  	  1		2	
	386.0	pps	ppnf	393.0	389.0	390.0	  	  1		1	
	389.0	pps	ppnf	393.0	pps	390.0	  	  1		2	
	390.0	ppnf	397.0	393.0	pps	394.0	  	  1		1	
	393.0	ppnf	397.0	pps	pps	394.0	  	  1		2	
	394.0	401.0	397.0	pps	ppnf	398.0	  	  1		1	
	397.0	401.0	pps	pps	ppnf	398.0	  	  1		2	
	398.0	401.0	pps	ppnf	405.0	402.0	  	  1		1	
	401.0	pps	pps	ppnf	405.0	402.0	  	  1		2	
	402.0	pps	ppnf	409.0	405.0	406.0	  	  1		1	
	405.0	pps	ppnf	409.0	pps	406.0	  	  1		2	
	406.0	ppnf	413.0	409.0	pps	410.0	  	  1		1	
	409.0	ppnf	413.0	pps	pps	410.0	  	  1		2	
	410.0	417.0	413.0	pps	ppnf	414.0	  	  1		1	
	413.0	417.0	pps	pps	ppnf	414.0	  	  1		2	
	414.0	417.0	pps	ppnf	421.0	418.0	  	  1		1	
	417.0	pps	pps	ppnf	421.0	418.0	  	  1		2	
	418.0	pps	ppnf	425.0	421.0	422.0	  	  1		1	
	421.0	pps	ppnf	425.0	pps	422.0	  	  1		2	
	422.0	ppnf	429.0	425.0	pps	426.0	  	  1		1	
	425.0	ppnf	429.0	pps	pps	426.0	  	  1		2	
	426.0	433.0	429.0	pps	ppnf	430.0	  	  1		1	
	429.0	433.0	pps	pps	ppnf	430.0	  	  1		2	
	430.0	433.0	pps	ppnf	437.0	434.0	  	  1		1	
	433.0	pps	pps	ppnf	437.0	434.0	  	  1		2	
	434.0	pps	ppnf	441.0	437.0	438.0	  	  1		1	
	437.0	pps	ppnf	441.0	pps	438.0	  	  1		2	
	438.0	ppnf	445.0	441.0	pps	442.0	  	  1		1	
	441.0	ppnf	445.0	pps	pps	442.0	  	  1		2	
	442.0	449.0	445.0	pps	ppnf	446.0	  	  1		1	
	445.0	449.0	pps	pps	ppnf	446.0	  	  1		2	
	446.0	449.0	pps	ppnf	453.0	450.0	  	  1		1	
	449.0	pps	pps	ppnf	453.0	450.0	  	  1		2	
	450.0	pps	ppnf	457.0	453.0	454.0	  	  1		1	
	453.0	pps	ppnf	457.0	pps	454.0	  	  1		2	
	454.0	ppnf	461.0	457.0	pps	458.0	  	  1		1	
	457.0	ppnf	461.0	pps	pps	458.0	  	  1		2	
	458.0	465.0	461.0	pps	ppnf	462.0	  	  1		1	
	461.0	465.0	pps	pps	ppnf	462.0	  	  1		2	
	462.0	465.0	pps	ppnf	469.0	466.0	  	  1		1	
	465.0	pps	pps	ppnf	469.0	466.0	  	  1		2	
	466.0	pps	ppnf	473.0	469.0	470.0	  	  1		1	
	469.0	pps	ppnf	473.0	pps	470.0	  	  1		2	
	470.0	ppnf	477.0	473.0	pps	474.0	  	  1		1	
	473.0	ppnf	477.0	pps	pps	474.0	  	  1		2	
	474.0	481.0	477.0	pps	ppnf	478.0	  	  1		1	
	477.0	481.0	pps	pps	ppnf	478.0	  	  1		2	
	478.0	481.0	pps	ppnf	485.0	482.0	  	  1		1	
	481.0	pps	pps	ppnf	485.0	482.0	  	  1		2	

	Number Delayed: 120
